,Name,First Name,Last Name,Identifier,Homework 1,Homework 1 - Max Points,Homework 1 - Submission Time,Homework 2,Homework 2 - Max Points,Homework 2 - Submission Time,Homework 3,Homework 3 - Max Points,Homework 3 - Submission Time,Homework 4,Homework 4 - Max Points,Homework 4 - Submission Time,Homework 5,Homework 5 - Max Points,Homework 5 - Submission Time,Homework 6,Homework 6 - Max Points,Homework 6 - Submission Time,Homework 7,Homework 7 - Max Points,Homework 7 - Submission Time,Homework 8,Homework 8 - Max Points,Homework 8 - Submission Time,Homework 9,Homework 9 - Max Points,Homework 9 - Submission Time,Homework 10,Homework 10 - Max Points,Homework 10 - Submission Time,Exam 1,Exam 1 - Max Points,Exam 1 - Submission Time,Exam 2,Exam 2 - Max Points,Exam 2 - Submission Time,Exam 3,Exam 3 - Max Points,Exam 3 - Submission Time,Email,Section,Quiz 1,Quiz 2,Quiz 3,Quiz 4,Quiz 5,Exam 1 Score,Exam 2 Score,Exam 3 Score,Total Homework,Average Homework,Homework Score,Total quizzes,Average quizzes,Quiz Score,Final score,Ceiling score,Final Grade
5,"Adams, Amy",Amy,Adams,ara97741,49.0,80,2019-08-29,53,80,2019-09-05,55,80,2019-09-12,78,100,2019-09-19,46,70,2019-09-26,59,90,2019-10-03,49,50,2019-10-10,58,70,2019-10-17,39,60,2019-10-24,54,60,2019-10-31,87,100,2019-10-08,74,100,2019-11-08,76,100,2019-12-08,amy.adams@univ.edu,1,9,11,12,8,10,0.87,0.74,0.76,0.7297297297297297,0.741376984126984,0.741376984126984,0.7246376811594203,0.7324318818436466,0.7324318818436466,0.7477803582038876,75.0,C
11,"Warren, Angela",Angela,Warren,axw80146,54.0,80,2019-08-29,62,80,2019-09-05,59,80,2019-09-12,77,100,2019-09-19,59,70,2019-09-26,85,90,2019-10-03,44,50,2019-10-10,55,70,2019-10-17,58,60,2019-10-24,48,60,2019-10-31,70,100,2019-10-08,84,100,2019-11-08,78,100,2019-12-08,angela.warren@univ.edu,1,8,14,10,5,10,0.7,0.84,0.78,0.8121621621621622,0.817718253968254,0.817718253968254,0.6811594202898551,0.6878635090399797,0.6878635090399797,0.7694463542992955,77.0,C
19,"Sanders, Beth",Beth,Sanders,bms82804,59.0,80,2019-08-29,67,80,2019-09-05,53,80,2019-09-12,85,100,2019-09-19,68,70,2019-09-26,77,90,2019-10-03,41,50,2019-10-10,52,70,2019-10-17,50,60,2019-10-24,42,60,2019-10-31,73,100,2019-10-08,71,100,2019-11-08,67,100,2019-12-08,beth.sanders@univ.edu,1,4,12,9,10,9,0.73,0.71,0.67,0.8027027027027027,0.8010674603174603,0.8027027027027027,0.6376811594202898,0.631466768525592,0.6376811594202898,0.7203854289071681,73.0,C
20,"Schwartz, Billy",Billy,Schwartz,bxs54690,56.0,80,2019-08-29,52,80,2019-09-05,56,80,2019-09-12,89,100,2019-09-19,46,70,2019-09-26,66,90,2019-10-03,33,50,2019-10-10,51,70,2019-10-17,48,60,2019-10-24,52,60,2019-10-31,89,100,2019-10-08,62,100,2019-11-08,93,100,2019-12-08,billy.schwartz@univ.edu,1,11,12,11,10,9,0.89,0.62,0.93,0.7418918918918919,0.7385714285714287,0.7418918918918919,0.7681159420289855,0.7822689075630253,0.7822689075630253,0.7774374290256644,78.0,C
26,"Hunt, Brett",Brett,Hunt,bch39598,72.0,80,2019-08-29,72,80,2019-09-05,57,80,2019-09-12,77,100,2019-09-19,62,70,2019-09-26,78,90,2019-10-03,43,50,2019-10-10,42,70,2019-10-17,43,60,2019-10-24,58,60,2019-10-31,85,100,2019-10-08,72,100,2019-11-08,89,100,2019-12-08,brett.hunt@univ.edu,1,4,11,16,7,12,0.85,0.72,0.89,0.8162162162162162,0.8178214285714285,0.8178214285714285,0.7246376811594203,0.7076292335115865,0.7246376811594203,0.7925198757763975,80.0,B
28,"Powers, Brooke",Brooke,Powers,bdp78944,80.0,80,2019-08-29,60,80,2019-09-05,53,80,2019-09-12,66,100,2019-09-19,46,70,2019-09-26,85,90,2019-10-03,45,50,2019-10-10,54,70,2019-10-17,44,60,2019-10-24,57,60,2019-10-31,77,100,2019-10-08,87,100,2019-11-08,90,100,2019-12-08,brooke.powers@univ.edu,1,6,10,17,10,8,0.77,0.87,0.9,0.7972972972972973,0.8028849206349207,0.8028849206349207,0.7391304347826086,0.7186147186147186,0.7391304347826086,0.803393098688751,81.0,B
29,"Dennis, Cameron",Cameron,Dennis,cxd92501,75.0,80,2019-08-29,73,80,2019-09-05,59,80,2019-09-12,61,100,2019-09-19,43,70,2019-09-26,67,90,2019-10-03,36,50,2019-10-10,59,70,2019-10-17,51,60,2019-10-24,54,60,2019-10-31,88,100,2019-10-08,66,100,2019-11-08,68,100,2019-12-08,cameron.dennis@univ.edu,1,4,6,13,5,4,0.88,0.66,0.68,0.7810810810810811,0.7869087301587301,0.7869087301587301,0.463768115942029,0.4437636872930991,0.463768115942029,0.6658939268461008,67.0,D
33,"Allen, Christina",Christina,Allen,cxa22039,63.0,80,2019-08-29,78,80,2019-09-05,76,80,2019-09-12,68,100,2019-09-19,53,70,2019-09-26,83,90,2019-10-03,44,50,2019-10-10,69,70,2019-10-17,39,60,2019-10-24,43,60,2019-10-31,60,100,2019-10-08,70,100,2019-11-08,67,100,2019-12-08,christina.allen@univ.edu,1,10,12,14,14,8,0.6,0.7,0.67,0.8324324324324325,0.8304246031746032,0.8324324324324325,0.8405797101449275,0.8398573975044563,0.8405797101449275,0.7856468860164513,79.0,C
35,"Hart, Colleen",Colleen,Hart,cxh80084,48.0,80,2019-08-29,70,80,2019-09-05,59,80,2019-09-12,81,100,2019-09-19,46,70,2019-09-26,62,90,2019-10-03,38,50,2019-10-10,52,70,2019-10-17,45,60,2019-10-24,59,60,2019-10-31,68,100,2019-10-08,72,100,2019-11-08,62,100,2019-12-08,colleen.hart@univ.edu,1,6,6,17,9,7,0.68,0.72,0.62,0.7567567567567568,0.7604722222222222,0.7604722222222222,0.6521739130434783,0.6343290043290043,0.6521739130434783,0.6988410628019324,70.0,C
39,"Guzman, Cynthia",Cynthia,Guzman,cxg21963,63.0,80,2019-08-29,68,80,2019-09-05,48,80,2019-09-12,67,100,2019-09-19,55,70,2019-09-26,54,90,2019-10-03,38,50,2019-10-10,51,70,2019-10-17,57,60,2019-10-24,47,60,2019-10-31,64,100,2019-10-08,74,100,2019-11-08,66,100,2019-12-08,cynthia.guzman@univ.edu,1,6,15,14,10,7,0.64,0.74,0.66,0.7405405405405405,0.7515119047619047,0.7515119047619047,0.7536231884057971,0.7333206009676598,0.7536231884057971,0.731691718426501,74.0,C
