,Name,First Name,Last Name,Identifier,Homework 1,Homework 1 - Max Points,Homework 1 - Submission Time,Homework 2,Homework 2 - Max Points,Homework 2 - Submission Time,Homework 3,Homework 3 - Max Points,Homework 3 - Submission Time,Homework 4,Homework 4 - Max Points,Homework 4 - Submission Time,Homework 5,Homework 5 - Max Points,Homework 5 - Submission Time,Homework 6,Homework 6 - Max Points,Homework 6 - Submission Time,Homework 7,Homework 7 - Max Points,Homework 7 - Submission Time,Homework 8,Homework 8 - Max Points,Homework 8 - Submission Time,Homework 9,Homework 9 - Max Points,Homework 9 - Submission Time,Homework 10,Homework 10 - Max Points,Homework 10 - Submission Time,Exam 1,Exam 1 - Max Points,Exam 1 - Submission Time,Exam 2,Exam 2 - Max Points,Exam 2 - Submission Time,Exam 3,Exam 3 - Max Points,Exam 3 - Submission Time,Email,Section,Quiz 1,Quiz 2,Quiz 3,Quiz 4,Quiz 5,Exam 1 Score,Exam 2 Score,Exam 3 Score,Total Homework,Average Homework,Homework Score,Total quizzes,Average quizzes,Quiz Score,Final score,Ceiling score,Final Grade
6,"White, Amy",Amy,White,alw07647,71.0,80,2019-08-29,60,80,2019-09-05,72,80,2019-09-12,95,100,2019-09-19,64,70,2019-09-26,87,90,2019-10-03,40,50,2019-10-10,43,70,2019-10-17,47,60,2019-10-24,41,60,2019-10-31,99,100,2019-10-08,95,100,2019-11-08,99,100,2019-12-08,amy.white@univ.edu,3,7,14,15,11,4,0.99,0.95,0.99,0.8378378378378378,0.8249404761904762,0.8378378378378378,0.7391304347826086,0.7142195059842119,0.7391304347826086,0.8498742655699177,85.0,B
7,"Dunn, Amy",Amy,Dunn,axd67070,72.0,80,2019-08-29,61,80,2019-09-05,50,80,2019-09-12,90,100,2019-09-19,47,70,2019-09-26,72,90,2019-10-03,43,50,2019-10-10,49,70,2019-10-17,48,60,2019-10-24,50,60,2019-10-31,93,100,2019-10-08,96,100,2019-11-08,86,100,2019-12-08,amy.dunn@univ.edu,3,10,12,6,13,6,0.93,0.96,0.86,0.7864864864864864,0.7852261904761905,0.7864864864864864,0.6811594202898551,0.6981207028265851,0.6981207028265851,0.7955308054425702,80.0,B
8,"Terry, Amy",Amy,Terry,ajt73762,71.0,80,2019-08-29,54,80,2019-09-05,76,80,2019-09-12,93,100,2019-09-19,43,70,2019-09-26,89,90,2019-10-03,30,50,2019-10-10,58,70,2019-10-17,54,60,2019-10-24,49,60,2019-10-31,60,100,2019-10-08,81,100,2019-11-08,79,100,2019-12-08,amy.terry@univ.edu,3,4,12,9,5,7,0.6,0.81,0.79,0.8337837837837838,0.8190912698412699,0.8337837837837838,0.5362318840579711,0.5267048637636873,0.5362318840579711,0.7238830787309048,73.0,C
12,"Miller, Anthony",Anthony,Miller,axm26865,77.0,80,2019-08-29,53,80,2019-09-05,65,80,2019-09-12,74,100,2019-09-19,66,70,2019-09-26,78,90,2019-10-03,30,50,2019-10-10,55,70,2019-10-17,53,60,2019-10-24,41,60,2019-10-31,73,100,2019-10-08,68,100,2019-11-08,93,100,2019-12-08,anthony.miller@univ.edu,3,9,8,13,7,12,0.73,0.68,0.93,0.8,0.7939404761904763,0.8,0.7101449275362319,0.7232442067736186,0.7232442067736186,0.7809732620320856,79.0,C
13,"Greer, April",April,Greer,abg77872,61.0,80,2019-08-29,62,80,2019-09-05,67,80,2019-09-12,65,100,2019-09-19,58,70,2019-09-26,68,90,2019-10-03,30,50,2019-10-10,46,70,2019-10-17,60,60,2019-10-24,36,60,2019-10-31,74,100,2019-10-08,71,100,2019-11-08,94,100,2019-12-08,april.greer@univ.edu,3,8,11,13,13,12,0.74,0.71,0.94,0.7472972972972973,0.7466269841269841,0.7472972972972973,0.8260869565217391,0.830776674306086,0.830776674306086,0.7971519212107447,80.0,B
14,"Foster, Ashlee",Ashlee,Foster,axf16145,79.0,80,2019-08-29,78,80,2019-09-05,74,80,2019-09-12,81,100,2019-09-19,63,70,2019-09-26,75,90,2019-10-03,38,50,2019-10-10,45,70,2019-10-17,41,60,2019-10-24,43,60,2019-10-31,73,100,2019-10-08,61,100,2019-11-08,74,100,2019-12-08,ashlee.foster@univ.edu,3,5,12,17,14,12,0.73,0.61,0.74,0.8337837837837838,0.8233690476190476,0.8337837837837838,0.8695652173913043,0.850909090909091,0.8695652173913043,0.8028830787309049,81.0,B
17,"Bailey, Belinda",Belinda,Bailey,bmb94857,60.0,80,2019-08-29,74,80,2019-09-05,55,80,2019-09-12,76,100,2019-09-19,64,70,2019-09-26,83,90,2019-10-03,44,50,2019-10-10,45,70,2019-10-17,50,60,2019-10-24,58,60,2019-10-31,83,100,2019-10-08,95,100,2019-11-08,87,100,2019-12-08,belinda.bailey@univ.edu,3,6,10,9,14,4,0.83,0.95,0.87,0.822972972972973,0.8281865079365079,0.8281865079365079,0.6231884057971014,0.6149732620320856,0.6231884057971014,0.7852311249137337,79.0,C
21,"Bryan, Bradley",Bradley,Bryan,bxb28023,55.0,80,2019-08-29,65,80,2019-09-05,63,80,2019-09-12,86,100,2019-09-19,68,70,2019-09-26,86,90,2019-10-03,44,50,2019-10-10,69,70,2019-10-17,48,60,2019-10-24,47,60,2019-10-31,96,100,2019-10-08,82,100,2019-11-08,66,100,2019-12-08,bradley.bryan@univ.edu,3,10,12,8,10,8,0.96,0.82,0.66,0.8527027027027027,0.8523531746031747,0.8527027027027027,0.6956521739130435,0.7121263050674815,0.7121263050674815,0.7837189726013256,79.0,C
22,"Thomas, Brandon",Brandon,Thomas,bxt62105,80.0,80,2019-08-29,49,80,2019-09-05,53,80,2019-09-12,77,100,2019-09-19,46,70,2019-09-26,86,90,2019-10-03,33,50,2019-10-10,53,70,2019-10-17,37,60,2019-10-24,51,60,2019-10-31,86,100,2019-10-08,72,100,2019-11-08,65,100,2019-12-08,brandon.thomas@univ.edu,3,7,10,13,8,4,0.86,0.72,0.65,0.7635135135135135,0.7541507936507935,0.7635135135135135,0.6086956521739131,0.5944996180290297,0.6086956521739131,0.7005141010575793,71.0,C
25,"Miranda, Brett",Brett,Miranda,bxm17365,74.0,80,2019-08-29,63,80,2019-09-05,53,80,2019-09-12,71,100,2019-09-19,61,70,2019-09-26,62,90,2019-10-03,43,50,2019-10-10,51,70,2019-10-17,54,60,2019-10-24,51,60,2019-10-31,82,100,2019-10-08,94,100,2019-11-08,95,100,2019-12-08,brett.miranda@univ.edu,3,11,9,15,11,8,0.82,0.94,0.95,0.7878378378378378,0.7983888888888889,0.7983888888888889,0.782608695652174,0.7869467787114846,0.7869467787114846,0.8329395891690009,84.0,B
